"Key.Run","Key.Fold","ClassifierID","DatasetID","Percent.correct"
1,1,1,1,0.361219815176908
1,2,1,1,0.28145519199969
1,3,1,1,0.225703550038567
1,4,1,1,0.301591683029679
1,5,1,1,0.355822655231308
1,1,2,1,0.409903384821158
1,2,2,1,0.324137950830445
1,3,2,1,0.260024423652559
1,4,2,1,0.282110719901987
1,5,2,1,0.252589943854
1,1,3,1,0.383989921999839
1,2,3,1,0.290969760720531
1,3,3,1,0.283367977319934
1,4,3,1,0.386405462921628
1,5,3,1,0.267302089155061
1,1,4,1,0.318683018012996
1,2,4,1,0.2781707889596
1,3,4,1,0.380848114665984
1,4,4,1,0.295989131289694
1,5,4,1,0.35238103981544
1,1,5,1,0.437255746038244
1,2,5,1,0.33095049674574
1,3,5,1,0.344918288821797
1,4,5,1,0.297851281252068
1,5,5,1,0.273502677163482
1,1,6,1,0.304070034479426
1,2,6,1,0.234614803981676
1,3,6,1,0.454876805176267
1,4,6,1,0.207283636522772
1,5,6,1,0.361764442502483
1,1,1,2,0.244791724552441
1,2,1,2,0.422642605872495
1,3,1,2,0.280055614459353
1,4,1,2,0.320275368930811
1,5,1,2,0.227909378843762
1,1,2,2,0.368235980505643
1,2,2,2,0.326600854320809
1,3,2,2,0.283232119456533
1,4,2,2,0.394363126928011
1,5,2,2,0.242704748789661
1,1,3,2,0.317142212111763
1,2,3,2,0.284028877831875
1,3,3,2,0.482971665062563
1,4,3,2,0.323446728882402
1,5,3,2,0.169862862448159
1,1,4,2,0.271553558114772
1,2,4,2,0.348678809733188
1,3,4,2,0.350552883878198
1,4,4,2,0.319765367743186
1,5,4,2,0.393152693672532
1,1,5,2,0.298952237097669
1,2,5,2,0.306158069735686
1,3,5,2,0.389977415953442
1,4,5,2,0.135594129986092
1,5,5,2,0.407905301329758
1,1,6,2,0.260065989292984
1,2,6,2,0.221169075478775
1,3,6,2,0.371895521739667
1,4,6,2,0.446208254788804
1,5,6,2,0.299327316409229
1,1,1,3,0.248392713966615
1,2,1,3,0.430619734751356
1,3,1,3,0.394397285950224
1,4,1,3,0.221417758443829
1,5,1,3,0.27088446139767
1,1,2,3,0.305395151734517
1,2,2,3,0.15172509262872
1,3,2,3,0.316270188446492
1,4,2,3,0.33132252654949
1,5,2,3,0.413841905234916
1,1,3,3,0.455852847067671
1,2,3,3,0.404426911737724
1,3,3,3,0.347176052175425
1,4,3,3,0.322205450285113
1,5,3,3,0.105043982390877
1,1,4,3,0.426471093117937
1,2,4,3,0.324809745824036
1,3,4,3,0.188279918811804
1,4,4,3,0.289873128923888
1,5,4,3,0.344601603914208
1,1,5,3,0.298351112731669
1,2,5,3,0.37015204643292
1,3,5,3,0.317903935469975
1,4,5,3,0.275310188537913
1,5,5,3,0.331192782773824
